outcome,moderator,key,kind,n,min_cell,int_UxM_pp,ci_lo,ci_hi,int_SxM_pp,s_ci_lo,s_ci_hi,omnibus_F,omnibus_p,omnibus_p_unadj_spec,mdes80_UxM_pp,cells,bh_q,fl_perm_p
acc,Age (per +10 years),age,continuous,168,54,-0.14262825412751506,-8.462835984139508,8.177579475884478,6.81011606214579,-0.2625745482609021,13.88280667255248,2.8257691919938672,0.06222440244774969,0.15302554685406952,11.893021586247029,google:54; socratic:55; unrestricted:59,0.43557081713424783,0.05647176411794103
acc,Sex (female vs male),sex,binary,167,17,-3.2362183907340234,-16.11122418836382,9.638787406895775,2.2665189417842,-9.630805427875842,14.163843311444241,0.3288651426085599,0.7202284615278111,0.47892392465299416,18.40371380655975,google/no:26; google/yes:27; socratic/no:38; socratic/yes:17; unrestricted/no:36; unrestricted/yes:23,0.9898653285997318,
acc,First language English (vs other),english_l1,binary,168,26,-0.3260990038619904,-12.454227759177943,11.802029751453963,-0.8833686630647541,-13.01498047405509,11.248243147925582,0.010187025365828318,0.9898653285997318,0.9650308258188837,17.336117290372993,google/no:26; google/yes:28; socratic/no:28; socratic/yes:27; unrestricted/no:28; unrestricted/yes:31,0.9898653285997318,
acc,Employment (part-time vs full-time),employment,binary,168,12,1.7971390356470052,-10.822621964939206,14.416900036233216,-2.5885594325847445,-16.156285425020698,10.979166559851212,0.15910390458180143,0.8530425062877911,0.7490864973095389,18.038863314898734,google/no:42; google/yes:12; socratic/no:39; socratic/yes:16; unrestricted/no:34; unrestricted/yes:25,0.9898653285997318,
acc,"Ethnicity (non-White vs White, crude)",ethnicity,binary,165,15,2.427880627996406,-13.708260012639647,18.564021268632462,-3.5167617195907996,-18.562914387817628,11.529390948636028,0.22820609216256077,0.7962237604925855,0.8480439543859539,23.065225675263992,google/no:37; google/yes:17; socratic/no:36; socratic/yes:18; unrestricted/no:42; unrestricted/yes:15,0.9898653285997318,
acc,IT/software/data occupation (vs other),tech_job,binary,168,13,0.8443470911660367,-16.479291335317903,18.167985517649974,-7.473794126251396,-22.462579425313404,7.514991172810611,0.6346780916292863,0.5314353493462057,0.6100667978405991,24.762651660166547,google/no:41; google/yes:13; socratic/no:42; socratic/yes:13; unrestricted/no:46; unrestricted/yes:13,0.9898653285997318,
acc,"Prolific approvals (per log10 unit, aux.)",approvals,continuous,168,54,4.038082080555353,-8.287782899097975,16.363947060208677,8.255906778104038,-4.47784911184192,20.989662668049995,0.8450766791658955,0.4314324191695754,0.5242191084569022,17.61876422188464,google:54; socratic:55; unrestricted:59,0.9898653285997318,
